,Study,Mosquito,Insecticide,concn,Hut,location,wall_type,Deterrency,Induced_Exophily,Bloodfeeding_inhibition,Insecticide_induced_mortality,insecticide,Months_since_IRS,Ntotalfemalemosq_C,Ntotaldied_C,Nexittraps_C,Nbloodfed_C,Ntotalfemalemosq_IRS,Ntotaldied_IRS,Nexittraps_IRS,Nbloodfed_IRS,P_fed_and_alive,P_fed_and_dead,P_unfed_and_dead,P_unfed_and_alive,P_killed,P_bloodfed,P_other
161,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,1.838235294,43.09182487,31.29518335,40.07490637,bendiocarb,6.3,272,0,127,129,267,107,186,87,0.56340647,0.028835764,0.02247191,0.342090769,0.051307674,0.56340647,0.385285856
162,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-26.00896861,23.22837691,26.05143966,41.73158924,bendiocarb,6.333333333,223,1,131,88,281,118,192,82,0.46526914,0.041249858,0.117437722,0.145364888,0.158687581,0.46526914,0.376043279
163,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-0.552486188,38.43537415,29.69874953,21.54456654,bendiocarb,6.433333333,181,1,97,58,182,40,130,41,0.484912877,0,0.027472527,0.405743428,0.027472527,0.484912877,0.487614595
164,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,14.36170213,-90.87434305,7.389162562,19.25465839,bendiocarb,6.466666667,188,0,136,58,161,31,76,46,0.385504401,0.007319704,0.049689441,0.637141536,0.057009145,0.385504401,0.557486454
165,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,8.26446281,-19.90990991,33.14114114,29.00673783,bendiocarb,6.5,242,4,152,75,222,67,123,46,0.385451567,0.006216961,0.136847591,0.416536371,0.143064552,0.385451567,0.471483881
166,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-57.77777778,15.99597586,11.12190384,35.7950678,bendiocarb,6.533333333,540,2,288,87,852,307,518,122,0.435379354,0.004126819,0.116197183,-0.081968353,0.120324002,0.435379354,0.444296644
167,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-25.14450867,50.45727483,55.2517321,29.09930716,bendiocarb,6.566666667,346,0,196,100,433,126,340,56,0.442536945,0,0.046189376,0.231681106,0.046189376,0.442536945,0.511273679
168,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-77.6119403,12.67364088,24.14799253,31.24868038,bendiocarb,6.666666667,201,2,103,72,357,114,205,97,0.544725158,0.029086457,0.058823529,-0.365734353,0.087909986,0.544725158,0.367364856
169,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-35.0877193,1.545454545,50.2637987,30.58008658,bendiocarb,6.7,228,3,128,128,308,97,175,86,0.465738209,0.006749829,0.123376623,0.026999316,0.130126452,0.465738209,0.404135338
170,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-35.34883721,32.13058419,45.55977573,19.46385238,bendiocarb,6.733333333,215,4,129,95,291,61,212,70,0.491711301,0.001695556,0.046591545,0.038679773,0.048287101,0.491711301,0.460001598
171,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-29.66507177,18.51284551,37.04345207,18.81918819,bendiocarb,6.766666667,209,0,103,98,271,51,159,80,0.489803845,0,0.118081181,0.013700807,0.118081181,0.489803845,0.392114974
172,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,12.08791209,28.54166667,30.23333333,27.5,bendiocarb,6.8,182,0,104,75,160,44,111,46,0.468605769,0.024663462,0.0875,0.488461538,0.112163462,0.468605769,0.419230769
173,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,5.18134715,56.0564663,50.78324226,46.71268335,bendiocarb,6.9,193,3,121,90,183,87,153,42,0.489767501,0.022364779,0.058948441,0.384523911,0.081313221,0.489767501,0.428919279
174,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-14.28571429,23.97540984,25.30487805,25.33333333,bendiocarb,6.933333333,161,11,100,41,184,56,131,35,0.349335953,0.035824728,0.038178504,0.363151499,0.074003232,0.349335953,0.576660816
175,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-380.7692308,12.34285714,71.11111111,19.4,bendiocarb,6.966666667,26,2,12,18,125,32,66,25,0.492110769,0.050658462,0.128,-2.728,0.178658462,0.492110769,0.329230769
176,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-96.20253165,-23.35670874,9.744623656,22.54244482,bendiocarb,7,158,6,89,48,310,79,143,85,0.456573453,0.024847535,0.132094733,-0.449162924,0.156942267,0.456573453,0.386484279
177,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-27.5,15.96638655,55.41795666,25.96348884,bendiocarb,7.033333333,240,8,128,95,306,87,186,54,0.531556239,0.012234611,0.105882353,0.048366013,0.118116964,0.531556239,0.350326797
178,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-49.77777778,-49.37383695,12.79597893,16.2395468,bendiocarb,7.133333333,225,5,166,49,337,61,205,64,0.282553866,0.011122362,0.062037587,0.13138147,0.073159949,0.282553866,0.644286185
179,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-141.8604651,14.65729783,15.45637199,37.5,bendiocarb,7.166666667,172,0,94,67,416,156,255,137,0.419596197,0.015695618,0.072115385,-0.773898703,0.087811003,0.419596197,0.4925928
180,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-56.29139073,40.46021657,42.99691834,30.93220339,bendiocarb,7.2,151,0,79,55,236,73,169,49,0.551577057,0,0.021186441,-0.151532158,0.021186441,0.551577057,0.427236502
181,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-26.11464968,44.13452709,54.44874275,14.52840089,bendiocarb,7.233333333,157,3,69,47,198,32,136,27,0.530200675,0.023263907,0.02020202,0.136878338,0.043465927,0.530200675,0.426333398
182,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-30.25641026,-9.210380393,26.18110236,16.79721318,bendiocarb,7.266666667,195,4,124,52,254,47,153,50,0.408721987,0.009731476,0.020613769,0.238421159,0.030345245,0.408721987,0.560932768
183,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-60.625,31.61957007,37.74319066,45.90097947,bendiocarb,7.366666667,160,15,99,23,257,131,190,23,0.304164806,0.016044338,0.140053502,-0.016853113,0.15609784,0.304164806,0.539737354
184,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-101.0810811,31.69452002,-8.870967742,29.08701712,bendiocarb,7.4,185,23,102,37,372,141,258,81,0.451409474,0,0.064893926,-0.47444057,0.064893926,0.451409474,0.4836966
