,Study,Mosquito,Insecticide,concn,Hut,location,wall_type,Deterrency,Induced_Exophily,Bloodfeeding_inhibition,Insecticide_induced_mortality,insecticide,Months_since_IRS,time,Ntotalfemalemosq_C,Ntotaldied_C,Nexittraps_C,Nbloodfed_C,Ntotalfemalemosq_IRS,Ntotaldied_IRS,Nexittraps_IRS,Nbloodfed_IRS
93,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-50,-30.43478261,-228.5714286,30.43478261,sumishield,4.75,4.75,46,0,23,46,23,7,8,23
94,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-71.73913043,7.692307692,-225,30.76923077,sumishield,4.75,4.75,46,0,23,46,13,4,7,13
95,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-65.2173913,-12.5,-1500,6.25,sumishield,4.75,4.75,46,0,23,46,16,1,7,16
96,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-34.69387755,8.125,-1400,4.296875,sumishield,5,5,49,1,19,49,32,2,14,30
97,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-40.81632653,-35.17241379,-383.3333333,19.03735632,sumishield,5,5,49,1,19,49,29,6,5,29
98,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-65.30612245,13.52941176,-325,21.93627451,sumishield,5,5,49,1,19,49,17,4,8,17
99,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-71.42857143,6.666666667,-250,27.08333333,sumishield,5,5,49,1,19,49,14,4,6,14
100,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-75.51020408,4.722222222,-1100,6.423611111,sumishield,5,5,49,1,19,49,12,1,5,12
101,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-28.84615385,16.55405405,-1650,3.550609433,sumishield,5.25,5.25,52,1,20,52,37,2,18,35
102,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-38.46153846,-32.03125,-357.1428571,20.34313725,sumishield,5.25,5.25,52,1,20,52,32,7,6,32
103,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-63.46153846,14.47368421,-280,24.87100103,sumishield,5.25,5.25,52,1,20,52,19,5,9,19
104,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-73.07692308,18.75,-250,27.17086835,sumishield,5.25,5.25,52,1,20,52,14,4,7,14
105,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-75,12.5,-1200,5.882352941,sumishield,5.25,5.25,52,1,20,52,13,1,6,13
106,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-36.36363636,-1.020408163,-1550,3.968253968,sumishield,5.5,5.5,55,1,27,55,35,2,17,33
107,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-41.81818182,-53.45982143,-342.8571429,20.42824074,sumishield,5.5,5.5,55,1,27,55,32,7,7,31
108,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-61.81818182,6.462585034,-200,32.09876543,sumishield,5.5,5.5,55,1,27,55,21,7,11,21
109,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-76.36363636,9.340659341,-160,37.32193732,sumishield,5.5,5.5,55,1,27,55,13,5,7,13
110,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-69.09090909,-15.54621849,-433.3333333,16.12200436,sumishield,5.5,5.5,55,1,27,55,17,3,7,16
111,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-27.27272727,-14.58333333,-850,8.333333333,sumishield,5.75,5.75,55,1,25,55,40,4,15,38
112,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-49.09090909,-37.5,-350,19.97354497,sumishield,5.75,5.75,55,1,25,55,28,6,7,27
113,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-61.81818182,21.42857143,-200,32.09876543,sumishield,5.75,5.75,55,1,25,55,21,7,12,21
114,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-74.54545455,8.333333333,-180,34.52380952,sumishield,5.75,5.75,55,1,25,55,14,5,7,14
115,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-63.63636364,-10,-533.3333333,13.42592593,sumishield,5.75,5.75,55,1,25,55,20,3,8,19
116,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-33.92857143,-25.25629077,-790.9090909,9.189189189,sumishield,6,6,56,1,27,55,37,4,13,35
117,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-46.42857143,-35.17241379,-470.1818182,15.15151515,sumishield,6,6,56,1,27,55,30,5,9,28
118,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-48.21428571,-13.19857313,-321.8181818,22.75862069,sumishield,6,6,56,1,27,55,29,7,12,29
119,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-76.78571429,-3.978779841,-230.9090909,29.51048951,sumishield,6,6,56,1,27,55,13,4,6,13
120,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-64.28571429,-15.86206897,-867.2727273,8.363636364,sumishield,6,6,56,1,27,55,20,2,8,19
121,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-37.28813559,-6.306306306,-1086.781609,6.523765144,sumishield,6.25,6.25,59,1,23,58,37,3,13,35
122,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-47.45762712,-16.30824373,-637.5,11.40155729,sumishield,6.25,6.25,59,1,23,58,31,4,9,29
123,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-47.45762712,10.12544803,-350.4926108,21.2458287,sumishield,6.25,6.25,59,1,23,58,31,7,14,31
124,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-79.66101695,18.05555556,-306.8965517,23.70689655,sumishield,6.25,6.25,59,1,23,58,12,3,6,12
